Circuit: * D:\Anu\DC_DC converter.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.0014067 to 0.0014067
Heightened Def Con from 0.0015967 to 0.0015967
Heightened Def Con from 0.00164 to 0.00164
Heightened Def Con from 0.0016567 to 0.0016567
Heightened Def Con from 0.00172 to 0.00172
Heightened Def Con from 0.0017867 to 0.0017867
Heightened Def Con from 0.0018367 to 0.0018367
Heightened Def Con from 0.0018567 to 0.0018567
Heightened Def Con from 0.0018667 to 0.0018667
Heightened Def Con from 0.0019067 to 0.0019067
Heightened Def Con from 0.0020467 to 0.0020467
Heightened Def Con from 0.0020567 to 0.0020567
Heightened Def Con from 0.0020667 to 0.0020667
Heightened Def Con from 0.00213354 to 0.00213354
Heightened Def Con from 0.00213354 +to 0.00213354
Heightened Def Con from 0.00213354 to 0.00213354
Heightened Def Con from 0.00213354 to 0.00213354
Heightened Def Con from 0.00213354 to 0.00213354
Heightened Def Con from 0.00213354 to 0.00213354
Heightened Def Con from 0.00213354 to 0.00213354
Heightened Def Con from 0.00213354 to 0.00213354
Heightened Def Con from 0.00213354 to 0.00213354
Heightened Def Con from 0.0021567 to 0.0021567
Heightened Def Con from 0.00244 to 0.00244
Heightened Def Con from 0.0027767 to 0.0027767
Heightened Def Con from 0.0029001 to 0.0029001
Heightened Def Con from 0.0029201 to 0.0029201
Heightened Def Con from 0.00292674 to 0.00292674
Heightened Def Con from 0.00292674 to 0.00292674
Heightened Def Con from 0.00295674 to 0.00295674
Heightened Def Con from 0.0031467 to 0.0031467
Heightened Def Con from 0.0034167 to 0.0034167
Heightened Def Con from 0.0034567 to 0.0034567
Heightened Def Con from 0.0035667 to 0.0035667
Heightened Def Con from 0.0036167 to 0.0036167
Heightened Def Con from 0.00373004 to 0.00373005
Heightened Def Con from 0.0038401 to 0.0038401
Heightened Def Con from 0.0038667 to 0.0038667
Heightened Def Con from 0.0038867 to 0.0038867
Heightened Def Con from 0.0039067 to 0.0039067
Heightened Def Con from 0.0040267 to 0.0040267
Heightened Def Con from 0.0040867 to 0.0040867
Heightened Def Con from 0.0041967 to 0.0041967
Heightened Def Con from 0.0048167 to 0.0048167
Heightened Def Con from 0.00537 to 0.00537
Heightened Def Con from 0.0054367 to 0.0054367
Heightened Def Con from 0.0060967 to 0.0060967
Heightened Def Con from 0.0068867 to 0.0068867
Heightened Def Con from 0.0106367 to 0.0106367
Heightened Def Con from 0.01106 to 0.01106
Heightened Def Con from 0.0116167 to 0.0116167
Heightened Def Con from 0.0124567 to 0.0124567
Heightened Def Con from 0.0131967 to 0.0131967
Heightened Def Con from 0.0136067 to 0.0136067
Heightened Def Con from 0.0136267 to 0.0136267
Heightened Def Con from 0.0137267 to 0.0137267
Heightened Def Con from 0.0141167 to 0.0141167
Heightened Def Con from 0.0145067 to 0.0145067
Heightened Def Con from 0.0145767 to 0.0145767
Heightened Def Con from 0.0146467 to 0.0146467
Heightened Def Con from 0.0147667 to 0.0147667
Heightened Def Con from 0.0148367 to 0.0148367
Heightened Def Con from 0.0148867 to 0.0148867
Heightened Def Con from 0.0149767 to 0.0149767
Heightened Def Con from 0.0153867 to 0.0153867
Heightened Def Con from 0.0158167 to 0.0158167
Heightened Def Con from 0.0158767 to 0.0158767
Heightened Def Con from 0.0159667 to 0.0159667
Heightened Def Con from 0.0159867 to 0.0159867
Heightened Def Con from 0.0163867 to 0.0163867
